data;ghi;temp_amb;pot;temp_contacto
1/01/2018 0:00;0.305;24.26746;0;22.39647847
1/01/2018 0:15;-1.448;23.99001;0;22.33742607
1/01/2018 0:30;0.3;23.572;0;21.9559954
1/01/2018 0:45;0.12;23.57339;0;21.96446998
1/01/2018 1:00;0.2;23.52663;0;22.23965575
1/01/2018 1:15;0.1;23.45642;0;21.9196518
1/01/2018 1:30;-0.1;23.4102;0;21.65897186
1/01/2018 1:45;-0.4;23.45642;0;21.68039448
1/01/2018 2:00;-0.198;23.24851;0;21.37877891
1/01/2018 2:15;-0.085;23.15582;0;21.06397452
1/01/2018 2:30;-0.1;22.66794;0;20.86133574
1/01/2018 2:45;-0.3;22.52917;0;20.60891661
1/01/2018 3:00;-0.003;22.69211;0;20.65739326
1/01/2018 3:15;0.018;22.59917;0;20.67153974
1/01/2018 3:30;0.3;22.27427;0;20.1849363
1/01/2018 3:45;0.08;22.39006;0;20.27354186
1/01/2018 4:00;0.428;22.27418;0;20.55866449
1/01/2018 4:15;0.048;22.43796;0;20.61891551
1/01/2018 4:30;0.4;22.50718;0;20.58594855
1/01/2018 4:45;0;22.27509;0;20.31099059
1/01/2018 5:00;0.098;22.20481;0;20.38564277
1/01/2018 5:15;2.485;22.18203;0;20.82636041
1/01/2018 5:30;5.822;22.25102;0;20.57015487
1/01/2018 5:45;7.297;22.22828;0;20.82600755
1/01/2018 6:00;9.62;22.08913;0;20.83396535
1/01/2018 6:15;25.98;22.22931;0;22.37897268
1/01/2018 6:30;75.01;22.43829;43.18335;24.95367627
1/01/2018 6:45;158.8;22.29828;171.2504;26.99993284
1/01/2018 7:00;171.2;22.4613;266.6209;29.76993337
1/01/2018 7:15;365.8;22.39169;216.659;30.03150342
1/01/2018 7:30;226.3;22.18245;535.72;28.50870631
1/01/2018 7:45;281.4;22.18155;903.9841;31.19030226
1/01/2018 8:00;405;22.25201;1040.779;29.26095559
1/01/2018 8:15;285.2;22.46133;798.3682;30.50491439
1/01/2018 8:30;189.7;22.4615;541.4119;32.08785714
1/01/2018 8:45;296.3;22.69293;442.563;30.6971168
1/01/2018 9:00;437.7;23.11202;864.1409;31.02167777
1/01/2018 9:15;413.9;22.99503;929.9138;32.22542937
1/01/2018 9:30;486.6;23.27322;695.4719;33.19282517
1/01/2018 9:45;295.1;23.43646;567.0885;37.02202919
1/01/2018 10:00;382.6;23.94636;694.1437;41.13518937
1/01/2018 10:15;216.6;24.24821;567.5312;45.55724303
1/01/2018 10:30;336.7;24.75886;675.5503;49.65223602
1/01/2018 10:45;499.7;24.71167;663.9768;40.94693756
1/01/2018 11:00;688;25.24549;1177.637;41.80427306
1/01/2018 11:15;879;24.73465;1156.83;48.95028292
1/01/2018 11:30;1093;24.80334;2149.365;46.76348523
1/01/2018 11:45;1101;24.78025;2021.678;36.92510433
1/01/2018 12:00;1136;25.15017;1970.008;37.4710524
1/01/2018 12:15;1066;25.19655;2006.183;42.49531776
1/01/2018 12:30;1097;25.05742;2035.149;49.23886764
1/01/2018 12:45;1116;25.14996;1644.876;48.30707919
1/01/2018 13:00;785.6;25.4293;1892.662;46.90070228
1/01/2018 13:15;1054;25.66112;2087.767;46.95899861
1/01/2018 13:30;1066;25.26537;1964.317;34.63334068
1/01/2018 13:45;793.6;25.3584;1136.782;30.89754545
1/01/2018 14:00;745.3;26.00823;1066.519;29.99737497
1/01/2018 14:15;972;26.28655;1282.051;29.48180555
1/01/2018 14:30;998;26.63378;1477.851;27.9754817
1/01/2018 14:45;940;26.91213;1717.416;26.99458769
1/01/2018 15:00;1043;27.25965;2071.766;25.37746153
1/01/2018 15:15;799.7;26.77191;1711.787;25.91073075
1/01/2018 15:30;436.3;27.35195;1171.629;27.0989967
1/01/2018 15:45;431.9;27.21255;1116.354;29.39956421
1/01/2018 16:00;292.6;27.53726;1145.699;33.49816669
1/01/2018 16:15;319.8;27.65187;582.836;32.56587524
1/01/2018 16:30;280.5;28.0936;588.6544;31.64341147
1/01/2018 16:45;188;28.41706;399.6842;31.82492965
1/01/2018 17:00;192.4;27.55914;392.7275;31.1056245
1/01/2018 17:15;81.1;27.58174;189.2747;30.53171446
1/01/2018 17:30;32.42;27.67434;42.6774;28.58737283
1/01/2018 17:45;22.18;27.41997;17.69641;27.45147514
1/01/2018 18:00;22.88;27.09385;0;26.37647638
1/01/2018 18:15;22.98;27.67402;34.51905;25.92426621
1/01/2018 18:30;33.87;27.32604;15.29317;25.48383506
1/01/2018 18:45;28.62;26.67657;24.77963;25.316588
1/01/2018 19:00;4.618;26.81658;0;25.27826456
1/01/2018 19:15;0.395;26.39908;0;24.52586106
1/01/2018 19:30;0;26.39946;0;24.11764621
1/01/2018 19:45;0.2;26.40051;0;23.83208829
1/01/2018 20:00;0.2;26.02925;0;23.41116233
1/01/2018 20:15;0.205;26.0759;0;23.82079684
1/01/2018 20:30;0.2;25.95981;0;23.71926147
1/01/2018 20:45;0.3;25.93732;0;23.66085149
1/01/2018 21:00;0.227;25.7283;0;23.49588763
1/01/2018 21:15;0.038;25.93721;0;23.6480315
1/01/2018 21:30;-0.44;26.07635;0;24.28547721
1/01/2018 21:45;-0.2;25.91437;0;24.02894332
1/01/2018 22:00;-0.398;25.77515;0;23.87854668
1/01/2018 22:15;0.102;25.68258;0;23.93736246
1/01/2018 22:30;0.3;25.683;0;23.91710012
1/01/2018 22:45;-0.1;25.84445;0;23.8803965
1/01/2018 23:00;-0.105;25.68242;0;23.98952736
1/01/2018 23:15;-0.197;25.79894;0;24.04581541
1/01/2018 23:30;0.1;25.72891;0;24.39989447
1/01/2018 23:45;0;25.89143;0;24.67386677
2/01/2018 0:00;0.2;25.86736;0;24.45282001
2/01/2018 0:15;0.2;25.84505;0;24.349796
2/01/2018 0:30;0;25.52059;0;23.96082736
2/01/2018 0:45;0.1;25.52044;0;23.95691445
2/01/2018 1:00;0.133;25.45139;0;24.07535957
2/01/2018 1:15;0.038;25.61374;0;24.17628733
2/01/2018 1:30;-0.1;25.42829;0;23.72897593
2/01/2018 1:45;-0.1;25.24275;0;23.46294289
2/01/2018 2:00;0;24.94091;0;23.3079346
2/01/2018 2:15;-0.087;24.98728;0;23.02370303
2/01/2018 2:30;-0.1;24.80022;0;22.6594844
2/01/2018 2:45;-0.8;24.94166;0;22.83420226
2/01/2018 3:00;0;24.89466;0;22.67723874
2/01/2018 3:15;0.2;25.01093;0;22.83245829
2/01/2018 3:30;0.1;25.17385;0;23.03922529
2/01/2018 3:45;0;25.26767;0;23.13475344
2/01/2018 4:00;0.2;25.29027;0;23.45253175
2/01/2018 4:15;0.2;25.31251;0;23.5350664
2/01/2018 4:30;0.2;25.10448;0;23.80433219
2/01/2018 4:45;0.3;25.47562;0;24.5817386
2/01/2018 5:00;0.295;25.2206;0;24.71534591
